title,year,duration,genre,rating,movie_url
Once Upon a Time in the West ,1968,2h 45min,Western,8.5,https://www.imdb.com/title/tt0064116/
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,https://www.imdb.com/title/tt0111161/
Back to the Future ,1985,1h 56min,Adventure,8.5,https://www.imdb.com/title/tt0088763/
Cinema Paradiso ,1988,2h 35min,Drama,8.5,https://www.imdb.com/title/tt0095765/
High and Low ,1963,2h 23min,Crime,8.5,https://www.imdb.com/title/tt0057565/
Grave of the Fireflies ,1988,1h 29min,Animation,8.5,https://www.imdb.com/title/tt0095327/
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,https://www.imdb.com/title/tt0103064/
The Usual Suspects ,1995,1h 46min,Crime,8.5,https://www.imdb.com/title/tt0114814/
American History X ,1998,1h 59min,Drama,8.5,https://www.imdb.com/title/tt0120586/
The Lion King ,1994,1h 28min,Animation,8.5,https://www.imdb.com/title/tt0110357/
Gladiator ,2000,2h 35min,Action,8.5,https://www.imdb.com/title/tt0172495/
Léon: The Professional ,1994,1h 50min,Action,8.5,https://www.imdb.com/title/tt0110413/
The Pianist ,2002,2h 30min,Biography,8.5,https://www.imdb.com/title/tt0253474/
The Departed ,2006,2h 31min,Crime,8.5,https://www.imdb.com/title/tt0407887/
The Intouchables ,2011,1h 52min,Biography,8.5,https://www.imdb.com/title/tt1675434/
Whiplash ,2014,1h 46min,Drama,8.5,https://www.imdb.com/title/tt2582802/
The Prestige ,2006,2h 10min,Drama,8.5,https://www.imdb.com/title/tt0482571/
Seven Samurai ,1954,3h 27min,Action,8.6,https://www.imdb.com/title/tt0047478/
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,https://www.imdb.com/title/tt0038650/
Joker ,2019,2h 2min,Crime,8.5,https://www.imdb.com/title/tt7286456/
Full Metal Jacket ,1987,1h 56min,Drama,8.3,https://www.imdb.com/title/tt0093058/
Braveheart ,1995,2h 58min,Biography,8.3,https://www.imdb.com/title/tt0112573/
Reservoir Dogs ,1992,1h 39min,Crime,8.3,https://www.imdb.com/title/tt0105236/
Children of Heaven ,1997,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0118849/
Toy Story ,1995,1h 21min,Animation,8.3,https://www.imdb.com/title/tt0114709/
The Bandit ,1996,2h 8min,Crime,8.3,https://www.imdb.com/title/tt0116231/
Good Will Hunting ,1997,2h 6min,Drama,8.3,https://www.imdb.com/title/tt0119217/
Requiem for a Dream ,2000,1h 42min,Drama,8.3,https://www.imdb.com/title/tt0180093/
Avengers: Infinity War ,2018,2h 29min,Action,8.5,https://www.imdb.com/title/tt4154756/
American Beauty ,1999,2h 2min,Drama,8.3,https://www.imdb.com/title/tt0169547/
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,Drama,8.3,https://www.imdb.com/title/tt0338013/
Snatch ,2000,1h 42min,Comedy,8.3,https://www.imdb.com/title/tt0208092/
Amélie ,2001,2h 2min,Comedy,8.3,https://www.imdb.com/title/tt0211915/
Come and See ,1985,2h 22min,Drama,8.3,https://www.imdb.com/title/tt0091251/
Inglourious Basterds ,2009,2h 33min,Adventure,8.3,https://www.imdb.com/title/tt0361748/
Casino ,1995,2h 58min,Crime,8.2,https://www.imdb.com/title/tt0112641/
My Neighbor Totoro ,1988,1h 26min,Animation,8.2,https://www.imdb.com/title/tt0096283/
Unforgiven ,1992,2h 10min,Drama,8.2,https://www.imdb.com/title/tt0105695/
Die Hard ,1988,2h 12min,Action,8.2,https://www.imdb.com/title/tt0095016/
Indiana Jones and the Last Crusade ,1989,2h 7min,Action,8.2,https://www.imdb.com/title/tt0097576/
